Ring;Year;Sex;Treatment;Nest;Date.1;Date.2;days_resample;Age.1;Age.2;avg_age;Weight.1;Weight.2;Wing.1;Wing.2;growth_rate;body_condition.1;body_condition.2;delta_body_condition;Lprev.1;Lprev.2;Lbinom.1;Lbinom.2
3121103;2020;Male;Control;1102E;29/05/2020;06/06/2020;8;19.12214918;25.97631996;22.54923457;570;720;12.2;19.1;18.75;52.47264663;85.30781103;32.8351644;3;3;1;1
3121108;2020;Female;Water;2016E;29/05/2020;06/06/2020;8;21.6414955;30.18743528;25.91446539;765;960;15.7;23.2;24.375;99.97454078;172.1401031;72.16556237;2;3;1;1
3121109;2020;Male;Malarone;2016E;29/05/2020;06/06/2020;8;21.15345387;28.42837463;24.79091425;615;790;14.3;21.2;21.875;55.95911546;128.0423731;72.08325766;3;2;1;1
3121121;2020;Male;Water;273;30/05/2020;06/06/2020;7;12.68381243;20.10080641;16.39230942;390;650;6.9;13.2;37.14285714;21.43770713;111.8807905;90.44308333;3;2;1;1
3121122;2020;Female;Malarone;273;30/05/2020;06/06/2020;7;16.39033598;23.22238267;19.80635933;540;860;10.4;17.3;45.71428571;4.52910777;164.4474668;159.918359;1;1;1;1
3121136;2020;Male;Malarone;2048E;31/05/2020;12/06/2020;12;23.07701799;34.69453752;28.88577776;655;790;16.3;25.7;11.25;61.74283413;77.729117;15.98628286;1;1;1;1
3121138;2020;Male;Water;1860;06/06/2020;13/06/2020;7;22.68681712;28.30513045;25.49597378;530;645;15.9;21.1;16.42857143;-56.76288397;-15.72177872;41.04110525;NA;3;NA;1
3121141;2020;Male;Water;2263A;06/06/2020;13/06/2020;7;19.81031419;26.30992321;23.0601187;600;685;12.9;19.4;12.14285714;67.88982293;46.23425221;-21.65557071;0;3;0;1
3121142;2020;Male;Malarone;2263A;06/06/2020;13/06/2020;7;17.13102133;22.97907634;20.05504883;495;665;10.3;16.2;24.28571429;21.7224414;73.35134013;51.62889873;4;2;1;1
3121198;2020;Female;Control;1861;17/06/2020;21/06/2020;4;32.62716597;37.88568889;35.25642743;725;800;24.9;28.2;18.75;-85.10442777;-49.25318244;35.85124533;3;3;1;1
3121199;2020;Female;Control;1861;17/06/2020;21/06/2020;4;34.78125169;39.2430009;37.0121263;910;970;26.3;29;15;82.68858539;111.9472616;29.25867622;3;3;1;1
3121200;2020;Male;Malarone;1810;19/06/2020;26/06/2020;7;25.97631996;33.4788185;29.72756923;805;820;19.1;24.9;2.142857143;170.307811;115.9948303;-54.31298076;4;1;1;1
3121208;2020;Male;Malarone;3061B;07/06/2020;13/06/2020;6;21.72538658;27.69897951;24.71218305;580;675;14.9;20.6;15.83333333;10.21590191;20.54666079;10.33075888;3;1;1;1
3121209;2020;Male;Water;3061B;07/06/2020;13/06/2020;6;18.31055566;23.17524242;20.74289904;450;610;11.4;16.4;26.66666667;-49.79978817;15.14416615;64.94395432;0;3;0;1
3121210;2020;Male;Malarone;21392;07/06/2020;13/06/2020;6;24.79513877;30.765347;27.78024289;620;760;18;23;23.33333333;0.812061022;76.74160972;75.9295487;2;1;1;1
3121211;2020;Male;Water;21392;07/06/2020;13/06/2020;6;20.48525776;25.21739757;22.85132767;430;605;13.6;18.4;29.16666667;-115.9222188;-19.93281639;95.98940245;0;0;0;0
3121212;2020;Male;Malarone;2264D;07/06/2020;13/06/2020;6;26.5352563;32.74054362;29.63789996;720;740;19.6;24.4;3.333333333;78.55339384;41.29686602;-37.25652782;3;1;1;1
3121226;2020;Female;Malarone;1934;09/06/2020;16/06/2020;7;25.57063958;33.07817244;29.32440601;860;920;19.5;25.2;8.571428571;126.7916972;106.1282983;-20.6633989;3;1;1;1
3121227;2020;Male;Water;1934;09/06/2020;16/06/2020;7;22.58987466;28.9281796;25.75902713;620;690;15.8;21.6;10;34.88621551;23.15659722;-11.72961829;4;3;1;1
3121228;2020;Female;Water;1988E;09/06/2020;16/06/2020;7;27.45347792;35.25852979;31.35600385;880;915;21.1;26.6;5;121.985659;84.12071789;-37.86494114;1;1;1;1
3121229;2020;Male;Malarone;1988E;09/06/2020;16/06/2020;7;22.30028617;28.8021981;25.55124214;640;670;15.5;21.5;4.285714286;59.89687502;4.369506125;-55.5273689;1;1;1;1
3121254;2020;Female;Control;1196;12/06/2020;23/06/2020;11;18.76368709;30.7433887;24.75353789;650;820;12.7;23.6;15.45454545;51.68049739;26.76281644;-24.91768094;2;2;1;1
3121257;2020;Male;Water;1810;19/06/2020;26/06/2020;7;24.69078195;32.16223138;28.42650667;680;760;17.9;24;11.42857143;62.26822858;65.61731811;3.349089531;2;1;1;1
3121263;2020;Female;Water;1847;15/06/2020;22/06/2020;7;28.4586292;36.22833282;32.34348101;790;870;21.9;27.2;11.42857143;20.27961575;32.10413823;11.82452249;3;3;1;1
3121264;2020;Male;Malarone;1847;15/06/2020;22/06/2020;7;22.49314803;28.06066745;25.27690774;510;630;15.7;20.9;17.14285714;-73.45421447;-28.23241323;45.22180124;0;2;0;1
3121268;2020;Female;Control;2229;15/06/2020;21/06/2020;6;32.18216845;38.73113114;35.45664979;780;900;24.6;28.7;20;-26.29148882;45.21831652;71.50980533;3;2;1;1
3121269;2020;Male;Control;2229;15/06/2020;21/06/2020;6;30.22635399;37.07998535;33.65316967;650;670;22.6;27.2;3.333333333;-28.67263406;-57.09799945;-28.42536539;3;3;1;1
3121274;2020;Male;Water;2196B;16/06/2020;23/06/2020;7;27.57973541;35.4749891;31.52736225;630;790;20.5;26.2;22.85714286;-23.18140774;72.69271069;95.87411843;1;3;1;1
3121275;2020;Male;Malarone;2196B;16/06/2020;23/06/2020;7;25.21739757;32.74054362;28.9789706;595;750;18.4;24.4;22.14285714;-29.93281639;51.29686602;81.22968241;0;2;0;1
3121280;2020;Male;Water;1124E;16/06/2020;23/06/2020;7;27.22589468;34.69453752;30.9602161;610;660;20.2;25.7;7.142857143;-39.3280495;-52.270883;-12.94283351;3;3;1;1
3414579;2016;Male;Control;NA;27/05/2016;07/06/2016;11;18.72032282;28.8021981;23.76126046;485;685;11.8;21.5;18.18181818;-23.81383316;19.36950612;43.18333929;1;0;1;0
3414580;2016;Male;Control;NA;27/05/2016;07/06/2016;11;16.4466249;24.79513877;20.62088183;390;510;9.7;18;10.90909091;-67.58996718;-109.187939;-41.5979718;0;0;0;0
3414613;2016;Male;Control;NA;07/06/2016;17/06/2016;10;30.36004122;41.47374601;35.91689361;745;740;22.7;29.8;-0.5;65.1733623;-10.95987869;-76.13324099;1;NA;1;NA
3414614;2016;Male;Control;NA;07/06/2016;17/06/2016;10;26.76299649;36.59261082;31.67780366;650;660;19.8;26.9;1;5.899752771;-64.19910023;-70.098853;0;0;0;0
3414627;2016;Female;Control;NA;03/06/2016;24/06/2016;21;9.463094656;31.4541198;20.45860723;305;780;5.5;24.1;22.61904762;-30.07571657;-19.8320501;10.24366647;0;4;0;1
3414628;2016;Male;Control;NA;03/06/2016;24/06/2016;21;16.56303017;36.59261082;26.5778205;445;735;9.8;26.9;13.80952381;-15.27082555;10.80089977;26.07172532;0;3;0;1
3414636;2016;Male;Control;NA;03/06/2016;28/06/2016;25;13.14269512;40.43762616;26.79016064;355;780;7.2;29.2;17;-24.68658448;34.35653645;59.04312093;0;0;0;0
3414637;2016;Female;Control;NA;03/06/2016;28/06/2016;25;9.826431479;38.56124531;24.19383839;320;970;5.7;28.6;26;-26.31132566;116.3162709;142.6275966;0;1;0;1
3414640;2016;Female;Control;NA;03/06/2016;20/06/2016;17;20.68292806;35.57958881;28.13125843;630;695;14.7;26.8;3.823529412;-14.32301546;-138.2355749;-123.9125594;1;NA;1;NA
3414641;2016;Female;Control;NA;04/06/2016;20/06/2016;16;20.4923271;37.88568889;29.18900799;595;800;14.5;28.2;12.8125;-45.0138575;-49.25318244;-4.239324949;3;3;1;1
