Nest;Date;Year;Ring.no;Lprev;Lbinom;Weight;Wing;sampling_rank;Treatments;growth_rate;days_resample;sex;body_condition;delta_body_condition;Age_in_days;avg_age
1817;05/06/2020;2020;3121041;3;1;725;16.7;1;Malarone;NA;NA;Female;40.5508646279852;NA;22.6200869235876;NA
1817;13/06/2020;2020;3121041;2;1;900;24.4;2;Malarone;0.0270278885587045;8;Female;96.2763916649096;55.7255270369244;31.8888910898537;27.2544890067206
1817;05/06/2020;2020;3121042;0;0;710;17.2;1;Control;NA;NA;Female;16.271029073461;NA;23.1210606173476;NA
1817;13/06/2020;2020;3121042;2;1;870;24.4;2;Control;0.0254035302016585;8;Female;66.2763916649096;50.0053625914486;31.8888910898537;27.5049758536006
681;06/06/2020;2020;3121045;4;1;700;16.6;1;Water;NA;NA;Female;17.4401412512439;NA;22.5209381161714;NA
681;13/06/2020;2020;3121045;0;0;880;22.9;2;Water;0.0326916532041211;7;Female;96.2342643546974;78.7941231034536;29.7778850277676;26.1494115719695
342;23/05/2020;2020;3121051;0;0;555;13.4;1;Water;NA;NA;Male;12.9501690234433;NA;20.2933795605245;NA
342;29/05/2020;2020;3121051;1;1;750;19.3;2;Water;0.0501841821306536;6;Male;112.585063490627;99.6348944671838;26.1981428675101;23.2457612140173
342;23/05/2020;2020;3121052;0;0;540;12.8;1;Control;NA;NA;Female;-60.78668084684;NA;18.8613187243787;NA
342;29/05/2020;2020;3121052;0;0;810;19.2;2;Control;0.0675775180180274;6;Female;81.668750131103;142.455430977943;25.2352916267815;22.0483051755801
342;23/05/2020;2020;3121053;0;0;595;14.4;1;Malarone;NA;NA;Female;-42.8369379971928;NA;20.3970630586248;NA
342;29/05/2020;2020;3121053;0;0;830;20.5;2;Malarone;0.0554773825408356;6;Female;81.0602386674111;123.897176664604;26.7280828768945;23.5625729677596
585;23/05/2020;2020;3121054;3;1;705;17.3;1;Malarone;NA;NA;Female;9.44746679440959;NA;23.2223826747099;NA
585;29/05/2020;2020;3121054;0;0;870;22.7;2;Malarone;0.0350492348060601;6;Female;88.9936119798178;79.5461451854082;29.5083886887176;26.3653856817138
585;23/05/2020;2020;3121055;0;0;600;15.2;1;Water;NA;NA;Female;-54.8445184208524;NA;21.1606037948556;NA
585;29/05/2020;2020;3121055;1;1;800;20.3;2;Water;0.0479470120752968;6;Female;54.1442203516799;108.988738772532;26.4915453281237;23.8260745614897
585;23/05/2020;2020;3121056;2;1;430;13;1;Control;NA;NA;Male;-104.128576291542;NA;19.907388088187;NA
585;29/05/2020;2020;3121056;1;1;520;17.5;2;Control;0.0316739338146441;6;Male;-91.8245957108493;12.3039805806932;24.2778961262756;22.0926421072313
778E;23/05/2020;2020;3121057;0;0;690;14.7;1;Water;NA;NA;Male;123.748136752821;NA;21.5345805875026;NA
778E;29/05/2020;2020;3121057;2;1;770;20.1;2;Water;0.0182831528760708;6;Male;121.969131328873;-1.77900542394832;27.1092284049524;24.3219044962275
778E;23/05/2020;2020;3121058;2;1;510;11.3;1;Malarone;NA;NA;Female;-51.5787030506926;NA;17.3550558912538;NA
778E;29/05/2020;2020;3121058;2;1;840;17.2;2;Malarone;0.0831651943531646;6;Female;146.271029073461;197.849732124154;23.1210606173476;20.2380582543007
2239A;23/05/2020;2020;3121061;0;0;450;12.1;1;Malarone;NA;NA;Male;-65.3760539828356;NA;19.0223615539233;NA
2239A;30/05/2020;2020;3121061;1;1;680;18.4;2;Malarone;0.0589778879151124;7;Male;55.0671836090949;120.44323759193;25.2173975723408;22.119879563132
2239A;23/05/2020;2020;3121062;2;1;510;9.8;1;Water;NA;NA;Female;-6.77844643833737;NA;15.7113776418324;NA
2239A;30/05/2020;2020;3121062;0;0;770;16.1;2;Water;0.0588542555899083;7;Female;97.0605733801917;103.839019818529;22.0297519428793;18.8705647923559
1541;23/05/2020;2020;3121063;1;1;560;11.2;1;Malarone;NA;NA;Male;64.8265520708869;NA;18.1022541036704;NA
1541;30/05/2020;2020;3121063;1;1;735;17.7;2;Malarone;0.0388476736405203;7;Male;120.205129141456;55.3785770705691;24.4834507651292;21.2928524343998
1541;23/05/2020;2020;3121064;0;0;505;9.8;1;Water;NA;NA;Female;-11.7784464383374;NA;15.7113776418324;NA
1541;30/05/2020;2020;3121064;0;0;780;17;2;Water;0.0621050700583254;7;Female;89.9501775896463;101.728624027984;22.9195781138311;19.3154778778318
2235B;23/05/2020;2020;3121066;0;0;705;14.3;1;Water;NA;NA;Female;69.3551517950102;NA;20.3018013400238;NA
2235B;30/05/2020;2020;3121066;1;1;830;21;2;Water;0.0233182711397678;7;Female;73.4800257978536;4.1248740028434;27.3309100564229;23.8163556982233
2235B;23/05/2020;2020;3121067;0;0;700;17.1;1;Control;NA;NA;Male;94.2191741309084;NA;23.871782038893;NA
2235B;30/05/2020;2020;3121067;1;1;760;23.3;2;Control;0.0117482997481389;7;Male;73.3543303460142;-20.8648437848942;31.1770183370801;27.5244001879866
2235B;23/05/2020;2020;3121068;0;0;765;17.1;1;Malarone;NA;NA;Female;73.1052244287951;NA;23.0201295087141;NA
2235B;30/05/2020;2020;3121068;1;1;880;22.8;2;Malarone;0.020006581949388;7;Female;97.6109125570908;24.5056881282958;29.6427831227592;26.3314563157367
1168;23/05/2020;2020;3121069;0;0;660;14.8;1;Control;NA;NA;Male;91.9760526755815;NA;21.6299499615509;NA
1168;27/05/2020;2020;3121069;2;1;590;16.2;2;Control;-0.0280293245301765;4;Male;-1.64865986787527;-93.6247125434568;22.9790763396617;22.3045131506063
1168;23/05/2020;2020;3121070;1;1;555;13.9;1;Control;NA;NA;Male;3.37468799734597;NA;20.772092899238;NA
1168;27/05/2020;2020;3121070;2;1;695;17.6;2;Control;0.0562359329545894;4;Male;81.6860475517669;78.311359554421;24.380456480819;22.5762746900285
1168;23/05/2020;2020;3121071;0;0;360;10;1;Control;NA;NA;Male;-105.551437479342;NA;16.7929576616151;NA
1168;27/05/2020;2020;3121071;1;1;620;14.6;2;Control;0.135903861647245;4;Male;55.5323170607232;161.083754540065;21.4392625214548;19.1161100915349
2331C;24/05/2020;2020;3121072;0;0;505;8.7;1;Malarone;NA;NA;Female;25.673295912894;NA;14.3718376446499;NA
2331C;30/05/2020;2020;3121072;0;0;710;14.6;2;Malarone;0.0567844234600002;6;Female;67.8241847688091;42.1508888559151;20.5876099912759;17.4797238179629
2331C;24/05/2020;2020;3121073;0;0;425;8.1;1;Water;NA;NA;Male;14.5271207401369;NA;14.43068850844;NA
2331C;30/05/2020;2020;3121073;0;0;630;13.9;2;Water;0.0656051084101936;6;Male;78.374687997346;63.8475672572091;20.772092899238;17.601390703839
2331C;24/05/2020;2020;3121074;0;0;340;6.1;1;Control;NA;NA;Male;3.64842723642727;NA;11.3788034131205;NA
2331C;30/05/2020;2020;3121074;0;0;490;10.8;2;Control;0.0609099622490775;6;Male;4.33237782669522;0.683950590267955;17.6779072612593;14.5283553371899
1611;24/05/2020;2020;3121075;0;0;450;9.2;1;Water;NA;NA;Male;6.24296421710693;NA;15.8491481109235;NA
1611;30/05/2020;2020;3121075;1;1;600;15.2;2;Water;0.0479470120752968;6;Male;25.0054689120368;18.7625046949299;22.0122563250345;18.930702217979
1611;24/05/2020;2020;3121076;1;1;615;10.6;1;Malarone;NA;NA;Male;134.218153726367;NA;17.4614894627407;NA
1611;30/05/2020;2020;3121076;2;1;740;15.8;2;Malarone;0.0308379863986163;6;Male;154.886215509709;20.6680617833419;22.5898746592983;20.0256820610195
2.26E+04;24/05/2020;2020;3121077;0;0;545;11.5;1;Water;NA;NA;Male;42.9173903262389;NA;18.413818417567;NA
2.26E+04;29/05/2020;2020;3121077;0;0;670;16.8;2;Water;0.0412983835443535;5;Male;68.8455143763165;25.9281240500775;23.5712210761439;20.9925197468555
2.26E+04;24/05/2020;2020;3121078;0;0;485;9.7;1;Malarone;NA;NA;Male;27.4100328223699;NA;16.4466248966264;NA
2.26E+04;29/05/2020;2020;3121078;0;0;625;15.3;2;Malarone;0.0507205517597837;5;Male;48.2914863755284;20.8814535531585;22.1081173655328;19.2773711310796
2.26E+04;24/05/2020;2020;3121079;0;0;625;13.9;1;Malarone;NA;NA;Male;73.374687997346;NA;20.772092899238;NA
2.26E+04;30/05/2020;2020;3121079;1;1;820;18.9;2;Malarone;0.0452587817536496;6;Male;188.059219595188;114.684531597842;25.7567656319634;23.2644292656007
2.26E+04;24/05/2020;2020;3121080;1;1;650;12.3;1;Water;NA;NA;Female;61.7473920766163;NA;18.3698735175277;NA
2.26E+04;30/05/2020;2020;3121080;1;1;850;16.6;2;Water;0.0447106644324466;6;Female;167.440141251244;105.692749174628;22.5209381161714;20.4454058168495
1230E;24/05/2020;2020;3121081;NA;NA;390;8.1;1;Control;NA;NA;Male;-20.4728792598631;NA;14.43068850844;NA
1230E;30/05/2020;2020;3121081;0;0;620;13.2;2;Control;0.0772621231525742;6;Male;81.8807904652087;102.353669725072;20.1008064077102;17.2657474580751
1230E;24/05/2020;2020;3121082;0;0;325;6.8;1;Control;NA;NA;Male;-39.7464382353309;NA;12.5273025895843;NA
1230E;30/05/2020;2020;3121082;1;1;560;12.8;2;Control;0.0906852668999096;6;Male;29.923929694382;69.6703679297129;19.7129712545576;16.120136922071
1230E;24/05/2020;2020;3121083;0;0;200;5;1;Control;NA;NA;Female;-105.09460213432;NA;8.51472683406312;NA
1230E;30/05/2020;2020;3121083;0;0;340;7.7;2;Control;0.0884380418436951;6;Female;-100.917638723713;4.1769634106069;13.022207012282;10.7684669231726
1103E;24/05/2020;2020;3121088;0;0;355;6.5;1;Water;NA;NA;Female;-32.6248528738441;NA;11.1950339299346;NA
1103E;30/05/2020;2020;3121088;0;0;580;12;2;Water;0.0818183856775082;6;Female;-0.485210512636741;32.1396423612073;18.0704896038143;14.6327617668745
1103E;24/05/2020;2020;3121089;0;0;435;7.8;1;Malarone;NA;NA;Female;-9.97658035839987;NA;13.1636668958921;NA
1103E;30/05/2020;2020;3121089;0;0;690;13.1;2;Malarone;0.0768909277504368;6;Female;81.9258053018239;91.9023856602237;19.1525598743628;16.1581133851274
2259A;29/05/2020;2020;3121091;3;1;790;18.4;1;Malarone;NA;NA;Female;75.0564561759404;NA;24.3657450421619;NA
2259A;06/06/2020;2020;3121091;1;1;920;23.6;2;Malarone;0.0190425905727524;8;Female;126.762816441647;51.706360265707;30.7433886965947;27.5545668693783
2259A;29/05/2020;2020;3121092;2;1;690;18.8;1;Malarone;NA;NA;Male;59.4458615751848;NA;25.6478202821327;NA
2259A;06/06/2020;2020;3121092;2;1;730;25.1;2;Malarone;0.00704411706889147;8;Male;23.9037679126684;-35.5420936625164;33.7788285613217;29.7133244217272
2259A;29/05/2020;2020;3121093;4;1;665;17.1;1;Water;NA;NA;Female;-26.8947755712049;NA;23.0201295087141;NA
2259A;06/06/2020;2020;3121093;3;1;750;22.9;2;Water;0.0150357707343128;8;Female;-33.7657356453026;-6.87096007409764;29.7778850277676;26.3990072682409
2259A;29/05/2020;2020;3121094;4;1;435;12.4;1;Control;NA;NA;Male;-86.7775510852332;NA;19.3205129843852;NA
2259A;06/06/2020;2020;3121094;4;1;510;18.9;2;Control;0.0198830868287109;8;Male;-121.940780404812;-35.1632293195787;25.7567656319634;22.5386393081743
2265E;29/05/2020;2020;3121096;3;1;725;15.3;1;Malarone;NA;NA;Female;68.0927619767947;NA;21.256464835354;NA
2265E;06/06/2020;2020;3121096;1;1;770;22.2;2;Malarone;0.00752735749913183;8;Female;-4.0002273100647;-72.0929892868594;28.8470124423278;25.0517386388409
2265E;29/05/2020;2020;3121097;4;1;705;15.4;1;Water;NA;NA;Female;46.0434803825258;NA;21.3524698632188;NA
2265E;06/06/2020;2020;3121097;3;1;810;22.5;2;Water;0.017354555606777;8;Female;31.7773789278053;-14.2661014547205;29.2417209765479;25.2970954198834
2265E;29/05/2020;2020;3121098;0;0;510;11.7;1;Control;NA;NA;Male;3.41070281819708;NA;18.618679891457;NA
2265E;06/06/2020;2020;3121098;1;1;630;18.9;2;Control;0.0264136367084009;8;Male;-1.9407804048119;-5.35148322300898;25.7567656319634;22.1877227617102
1102E;29/05/2020;2020;3121101;4;1;860;16.5;1;Malarone;NA;NA;Female;179.340833512478;NA;22.4221099093003;NA
1102E;06/06/2020;2020;3121101;2;1;980;23.4;2;Malarone;0.016327522802133;8;Female;189.439969725782;10.0991362133045;30.4640021898015;26.4430560495509
1102E;29/05/2020;2020;3121102;1;1;795;15.5;1;Water;NA;NA;Female;134.00746283971;NA;21.4486336394046;NA
1102E;06/06/2020;2020;3121102;3;1;940;22.5;2;Water;0.0209422200762147;8;Female;161.777378927805;27.7699160880954;29.2417209765479;25.3451773079763
1102E;29/05/2020;2020;3121103;3;1;570;12.2;1;Control;NA;NA;Male;52.4726466284153;NA;19.1221491820423;NA
1102E;06/06/2020;2020;3121103;3;1;720;19.1;2;Control;0.0292018563976881;8;Male;85.3078110294355;32.8351644010202;25.9763199583187;22.5492345701805
2016E;29/05/2020;2020;3121108;2;1;765;15.7;1;Water;NA;NA;Female;99.9745407767477;NA;21.6414955011193;NA
2016E;06/06/2020;2020;3121108;3;1;960;23.2;2;Water;0.0283821813294183;8;Female;172.140103147429;72.1655623706811;30.1874352830286;25.9144653920739
2016E;29/05/2020;2020;3121109;3;1;615;14.3;1;Malarone;NA;NA;Male;55.9591154567108;NA;21.1534538702027;NA
2016E;06/06/2020;2020;3121109;2;1;790;21.2;2;Malarone;0.0313013347068187;8;Male;128.042373118355;72.0832576616444;28.4283746250018;24.7909142476022
273;30/05/2020;2020;3121121;3;1;390;6.9;1;Water;NA;NA;Male;21.4377071305487;NA;12.6838124321117;NA
273;06/06/2020;2020;3121121;2;1;650;13.2;2;Water;0.0729750891094273;7;Male;111.880790465209;90.4430833346601;20.1008064077102;16.3923094199109
273;30/05/2020;2020;3121122;1;1;540;10.4;1;Malarone;NA;NA;Female;4.52910776989597;NA;16.3903359834888;NA
273;06/06/2020;2020;3121122;1;1;860;17.3;2;Malarone;0.0664804642413191;7;Female;164.44746679441;159.918359024514;23.2223826747099;19.8063593290994
2048E;31/05/2020;2020;3121136;1;1;655;16.3;1;Malarone;NA;NA;Male;61.7428341315751;NA;23.07701799027;NA
2048E;12/06/2020;2020;3121136;1;1;790;25.7;2;Malarone;0.0156164758188179;12;Male;77.7291169956006;15.9862828640255;34.6945375243529;28.8857777573115
1860;06/06/2020;2020;3121138;NA;NA;530;15.9;1;Water;NA;NA;Male;-56.7628839682029;NA;22.6868171205618;NA
1860;13/06/2020;2020;3121138;3;1;645;21.1;2;Water;0.0280533300356579;7;Male;-15.7217787154466;41.0411052527563;28.3051304455088;25.4959737830353
2263A;06/06/2020;2020;3121141;0;0;600;12.9;1;Water;NA;NA;Male;67.8898229289882;NA;19.8103141922777;NA
2263A;13/06/2020;2020;3121141;3;1;685;19.4;2;Water;0.0189270261494398;7;Male;46.2342522143579;-21.6555707146304;26.3099232113073;23.0601187017925
2263A;06/06/2020;2020;3121142;4;1;495;10.3;1;Malarone;NA;NA;Male;21.7224414021626;NA;17.1310213263497;NA
2263A;13/06/2020;2020;3121142;2;1;665;16.2;2;Malarone;0.0421756111553091;7;Male;73.3513401321247;51.6288987299621;22.9790763396617;20.0550488330057
1861;17/06/2020;2020;3121198;3;1;725;24.9;1;Control;NA;NA;Female;-85.1044277708129;NA;32.6271659698363;NA
1861;21/06/2020;2020;3121198;3;1;800;28.2;2;Control;0.0246100182033131;4;Female;-49.2531824448449;35.851245325968;37.8856888888866;35.2564274293614
1861;17/06/2020;2020;3121199;3;1;910;26.3;1;Control;NA;NA;Female;82.688585388589;NA;34.7812516915029;NA
1861;21/06/2020;2020;3121199;3;1;970;29;2;Control;0.0159628679966332;4;Female;111.947261609928;29.2586762213386;39.2430009040775;37.0121262977902
1810;19/06/2020;2020;3121200;4;1;805;19.1;1;Malarone;NA;NA;Male;170.307811029435;NA;25.9763199583187;NA
1810;26/06/2020;2020;3121200;1;1;820;24.9;2;Malarone;0.00263743754853362;7;Male;115.994830266747;-54.3129807626881;33.4788185000151;29.7275692291669
3061B;07/06/2020;2020;3121208;3;1;580;14.9;1;Malarone;NA;NA;Male;10.2159019149467;NA;21.7253865798797;NA
3061B;13/06/2020;2020;3121208;1;1;675;20.6;2;Malarone;0.0252807645553441;6;Male;20.5466607941503;10.3307588792036;27.6989795112525;24.7121830455661
3061B;07/06/2020;2020;3121209;0;0;450;11.4;1;Water;NA;NA;Male;-49.7997881745214;NA;18.3105556605791;NA
3061B;13/06/2020;2020;3121209;3;1;610;16.4;2;Water;0.0507018957338319;6;Male;15.1441661497411;64.9439543242625;23.1752424228496;20.7428990417143
21392;07/06/2020;2020;3121210;2;1;620;18;1;Malarone;NA;NA;Male;0.812061022385251;NA;24.7951387726273;NA
21392;13/06/2020;2020;3121210;1;1;760;23;2;Malarone;0.0339331592068733;6;Male;76.7416097182268;75.9295486958415;30.765347003309;27.7802428879682
21392;07/06/2020;2020;3121211;0;0;430;13.6;1;Water;NA;NA;Male;-115.922218843343;NA;20.4852577598264;NA
21392;13/06/2020;2020;3121211;0;0;605;18.4;2;Water;0.0569072082238722;6;Male;-19.9328163909051;95.9894024524378;25.2173975723408;22.8513276660836
2264D;07/06/2020;2020;3121212;3;1;720;19.6;1;Malarone;NA;NA;Male;78.5533938393796;NA;26.5352563045647;NA
2264D;13/06/2020;2020;3121212;1;1;740;24.4;2;Malarone;0.00456649569801906;6;Male;41.2968660204031;-37.2565278189766;32.7405436200325;29.6378999622986
1934;09/06/2020;2020;3121226;3;1;860;19.5;1;Malarone;NA;NA;Female;126.791697210338;NA;25.5706395836252;NA
1934;16/06/2020;2020;3121226;1;1;920;25.2;2;Malarone;0.00963446868507607;7;Female;106.128298313298;-20.6633988970405;33.0781724428464;29.3244060132358
1934;09/06/2020;2020;3121227;4;1;620;15.8;1;Water;NA;NA;Male;34.8862155097092;NA;22.5898746592983;NA
1934;16/06/2020;2020;3121227;3;1;690;21.6;2;Water;0.0152817313645954;7;Male;23.1565972186829;-11.7296182910263;28.9281796000379;25.7590271296681
1988E;09/06/2020;2020;3121228;1;1;880;21.1;1;Water;NA;NA;Female;121.985659034046;NA;27.4534779153299;NA
1988E;16/06/2020;2020;3121228;1;1;915;26.6;2;Water;0.00557173682903845;7;Female;84.1207178896379;-37.8649411444085;35.2585297850463;31.3560038501881
1988E;09/06/2020;2020;3121229;1;1;640;15.5;1;Malarone;NA;NA;Male;59.8968750238989;NA;22.3002861695834;NA
1988E;16/06/2020;2020;3121229;1;1;670;21.5;2;Malarone;0.00654421943304203;7;Male;4.36950612467831;-55.5273688992206;28.8021981023179;25.5512421359506
1196;12/06/2020;2020;3121254;2;1;650;12.7;1;Control;NA;NA;Female;51.6804973863193;NA;18.7636870867044;NA
1196;23/06/2020;2020;3121254;2;1;820;23.6;2;Control;0.0211210888516924;11;Female;26.7628164416474;-24.9176809446719;30.7433886965947;24.7535378916496
1810;19/06/2020;2020;3121257;2;1;680;17.9;1;Water;NA;NA;Male;62.2682285780581;NA;24.6907819493241;NA
1810;26/06/2020;2020;3121257;1;1;760;24;2;Water;0.0158893764443178;7;Male;65.6173181089434;3.34908953088529;32.1622313819997;28.4265066656619
1847;15/06/2020;2020;3121263;3;1;790;21.9;1;Water;NA;NA;Female;20.2796157467524;NA;28.4586292018215;NA
1847;22/06/2020;2020;3121263;3;1;870;27.2;2;Water;0.0137800380267946;7;Female;32.1041382333863;11.8245224866339;36.2283328156158;32.3434810087186
1847;15/06/2020;2020;3121264;0;0;510;15.7;1;Malarone;NA;NA;Male;-73.4542144693758;NA;22.4931480312981;NA
1847;22/06/2020;2020;3121264;2;1;630;20.9;2;Malarone;0.0301870133810296;7;Male;-28.232413230578;45.2218012387978;28.0606674529174;25.2769077421077
2229;15/06/2020;2020;3121268;3;1;780;24.6;1;Control;NA;NA;Female;-26.2914888171447;NA;32.1821684469016;NA
2229;21/06/2020;2020;3121268;2;1;900;28.7;2;Control;0.0238501406067789;6;Female;45.2183165154024;71.5098053325471;38.7311311429765;35.456649794939
2229;15/06/2020;2020;3121269;3;1;650;22.6;1;Control;NA;NA;Male;-28.6726340594591;NA;30.2263539905469;NA
2229;21/06/2020;2020;3121269;3;1;670;27.2;2;Control;0.00505089158255481;6;Male;-57.097999451355;-28.4253653918959;37.0799853457946;33.6531696681707
2196B;16/06/2020;2020;3121274;1;1;630;20.5;1;Water;NA;NA;Male;-23.181407741127;NA;27.5797354070733;NA
2196B;23/06/2020;2020;3121274;3;1;790;26.2;2;Water;0.0323304465822127;7;Male;72.6927106925593;95.8741184336864;35.4749891024772;31.5273622547753
2196B;16/06/2020;2020;3121275;0;0;595;18.4;1;Malarone;NA;NA;Male;-29.9328163909051;NA;25.2173975723408;NA
2196B;23/06/2020;2020;3121275;2;1;750;24.4;2;Malarone;0.0330731144263895;7;Male;51.2968660204031;81.2296824113082;32.7405436200325;28.9789705961867
1124E;16/06/2020;2020;3121280;3;1;610;20.2;1;Water;NA;NA;Male;-39.3280494983317;NA;27.225894676446;NA
1124E;23/06/2020;2020;3121280;3;1;660;25.7;2;Water;0.0112544111218735;7;Male;-52.2708830043994;-12.9428335060677;34.6945375243529;30.9602161003994
NA;27/05/2016;2016;3414579;1;1;485;11.8;1;Control;NA;NA;Male;-23.8138331639738;NA;18.7203228218355;NA
NA;07/06/2016;2016;3414579;0;0;685;21.5;2;Control;0.031388177029522;11;Male;19.3695061246783;43.1833392886521;28.8021981023179;23.7612604620767
NA;27/05/2016;2016;3414580;0;0;390;9.7;1;Control;NA;NA;Male;-67.5899671776301;NA;16.4466248966264;NA
NA;07/06/2016;2016;3414580;0;0;510;18;2;Control;0.0243876351449709;11;Male;-109.187938977615;-41.5979717999847;24.7951387726273;20.6208818346269
NA;07/06/2016;2016;3414613;1;1;745;22.7;1;Control;NA;NA;Male;65.1733622990787;NA;30.3600412188965;NA
